alisa,1,7
bebe,1,12
bbeb,1,9
ridor,1,20
bebe,1,8
ggg,1,7
hgfds,1,13
gyrtfd,1,9
fgbhnl./,1,8
tghjk,2,15
fgbhnm,2,16
